study,condition,min_trials,coef,n_pp,M,SD,t,df,p,cohens_dz,ci_lower,ci_upper,check,range_lo,range_hi,pct_retained,r_scale,BF10,BF01,log_BF10,interp
Study2,misses,NA,b_change2_M2,109,-0.7272488929296582,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,0.10621613369591308,9.414765584133452,-2.2422792636720628,Moderate evidence FOR null
Study4,hits,NA,b_change_M1,131,-0.4522409474656719,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,261926519.8422074,3.817864646170349e-9,19.38357456377197,Extreme evidence: slope ≠ 0
Study4,hits,NA,b_change2_M2,131,0.019688741743806318,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,0.21718534387109512,4.604362256568863,-1.5270041707722974,Moderate evidence FOR null
Study4,hits,NA,b_change_M1,131,-0.4522409474656719,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,323054735.9048983,3.0954506740132814e-9,19.593332327835913,Extreme evidence: slope ≠ 0
Study4,hits,NA,b_change2_M2,131,0.019688741743806318,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,0.13610914875873537,7.347044699931097,-1.9942981507262196,Moderate evidence FOR null
Study4,hits,NA,b_change_M1,131,-0.4522409474656719,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,327035830.2671856,3.057768927591231e-9,19.605580295541404,Extreme evidence: slope ≠ 0
Study4,hits,NA,b_change2_M2,131,0.019688741743806318,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,0.09760388502522609,10.245493811455828,-2.3268379807689787,Strong evidence FOR null
Study4,misses,NA,b_change_M1,131,-0.29327825583801925,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,21.3193201900462,0.04690581083663686,3.0596137127689267,Strong evidence: slope ≠ 0
Study4,misses,NA,b_change2_M2,130,-0.788610777162144,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,0.4464471066712769,2.2399070014274036,-0.8064343477851758,Inconclusive
Study4,misses,NA,b_change_M1,131,-0.29327825583801925,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,17.72524354471715,0.05641671424582717,2.8749898125052993,Strong evidence: slope ≠ 0
Study4,misses,NA,b_change2_M2,130,-0.788610777162144,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,0.29577518430186367,3.3809462492952593,-1.2181556257275217,Moderate evidence FOR null
Study4,misses,NA,b_change_M1,131,-0.29327825583801925,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,14.224291021636262,0.07030227365841445,2.65495113846356,Strong evidence: slope ≠ 0
Study4,misses,NA,b_change2_M2,130,-0.788610777162144,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,0.2164169444048508,4.6207102810272644,-1.5305484337588826,Moderate evidence FOR null
Study5,hits,NA,b_change_M1,185,-0.4293711384682659,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,775866729223352.25,1.2888811471539791e-15,34.28500188067109,Extreme evidence: slope ≠ 0
Study5,hits,NA,b_change2_M2,185,1.3460053599457311,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,8276624.086374103,1.2082220837434323e-7,15.928945724184493,Extreme evidence: slope ≠ 0
Study5,hits,NA,b_change_M1,185,-0.4293711384682659,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,1005291361163188.1,9.9473648996937e-16,34.54405380601064,Extreme evidence: slope ≠ 0
Study5,hits,NA,b_change2_M2,185,1.3460053599457311,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,8920238.10106256,1.1210463091572433e-7,16.003833197144175,Extreme evidence: slope ≠ 0
Study5,hits,NA,b_change_M1,185,-0.4293711384682659,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,1058523159701240.6,9.447124428361509e-16,34.59565108600076,Extreme evidence: slope ≠ 0
Study5,hits,NA,b_change2_M2,185,1.3460053599457311,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,8188628.838515088,1.2212056740153073e-7,15.918257022828403,Extreme evidence: slope ≠ 0
Study5,misses,NA,b_change_M1,184,-0.20238451155730625,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,4.741965979752764,0.21088299753093925,1.556451813377235,Moderate evidence: slope ≠ 0
Study5,misses,NA,b_change2_M2,184,-1.3505798814273742,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.3,8.010264223943041,0.12483982700732328,2.0807237472956475,Moderate evidence: slope ≠ 0
Study5,misses,NA,b_change_M1,184,-0.20238451155730625,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,3.4856104798011645,0.2868937897091257,1.2486432024154865,Moderate evidence: slope ≠ 0
Study5,misses,NA,b_change2_M2,184,-1.3505798814273742,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.5,6.025245529996099,0.16596834021478413,1.7959582304129564,Moderate evidence: slope ≠ 0
Study5,misses,NA,b_change_M1,184,-0.20238451155730625,NA,NA,NA,NA,NA,NA,NA,prior_sensitivity,NA,NA,NA,0.707,2.648965569303225,0.37750585043014984,0.9741692125849363,Anecdotal: slope ≠ 0
